"StateFIPS","State","Year","Value","Data Comment",,"Age Group""Sex"
"23","Maine","2022","33","",,"5 TO 14""Female"
"23","Maine","2022","12","",,"15 TO 34""Male"
"23","Maine","2022","18","",,"15 TO 34""Female"
"23","Maine","2022","10","",,"35 TO 64""Male"
"23","Maine","2022","45","",,"35 TO 64""Female"
"23","Maine","2022","4","",,">= 65""Male"
"23","Maine","2022","20","",,">= 65""Female"
"27","Minnesota","2022","189","",,"0 TO 4""Male"
"27","Minnesota","2022","124","",,"0 TO 4""Female"
"27","Minnesota","2022","194","",,"5 TO 14""Male"
"27","Minnesota","2022","129","",,"5 TO 14""Female"
"27","Minnesota","2022","62","",,"15 TO 34""Male"
"27","Minnesota","2022","89","",,"15 TO 34""Female"
"27","Minnesota","2022","84","",,"35 TO 64""Male"
"27","Minnesota","2022","188","",,"35 TO 64""Female"
"27","Minnesota","2022","42","",,">= 65""Male"
"27","Minnesota","2022","123","",,">= 65""Female"
"29","Missouri","2022","513","",,"0 TO 4""Male"
"29","Missouri","2022","296","",,"0 TO 4""Female"
"29","Missouri","2022","424","",,"5 TO 14""Male"
"29","Missouri","2022","326","",,"5 TO 14""Female"
"29","Missouri","2022","164","",,"15 TO 34""Male"
"29","Missouri","2022","264","",,"15 TO 34""Female"
"29","Missouri","2022","156","",,"35 TO 64""Male"
"29","Missouri","2022","485","",,"35 TO 64""Female"
"29","Missouri","2022","61","",,">= 65""Male"
"29","Missouri","2022","209","",,">= 65""Female"
"31","Nebraska","2022","32","",,"0 TO 4""Male"
"31","Nebraska","2022","27","",,"0 TO 4""Female"
"31","Nebraska","2022","31","",,"5 TO 14""Male"
"31","Nebraska","2022","33","",,"5 TO 14""Female"
"31","Nebraska","2022","18","",,"15 TO 34""Male"
"31","Nebraska","2022","29","",,"15 TO 34""Female"
"31","Nebraska","2022","18","",,"35 TO 64""Male"
"31","Nebraska","2022","55","",,"35 TO 64""Female"
"31","Nebraska","2022","4","",,">= 65""Male"
"31","Nebraska","2022","14","",,">= 65""Female"
"34","New Jersey","2022","635","",,"0 TO 4""Male"
"34","New Jersey","2022","359","",,"0 TO 4""Female"
"34","New Jersey","2022","523","",,"5 TO 14""Male"
"34","New Jersey","2022","436","",,"5 TO 14""Female"
"34","New Jersey","2022","280","",,"15 TO 34""Male"
"34","New Jersey","2022","408","",,"15 TO 34""Female"
"34","New Jersey","2022","505","",,"35 TO 64""Male"
"34","New Jersey","2022","1,141","",,"35 TO 64""Female"
"34","New Jersey","2022","208","",,">= 65""Male"
"34","New Jersey","2022","682","",,">= 65""Female"
"35","New Mexico","2022","125","",,"0 TO 4""Male"
"35","New Mexico","2022","87","",,"0 TO 4""Female"
"35","New Mexico","2022","153","",,"5 TO 14""Male"
"35","New Mexico","2022","121","",,"5 TO 14""Female"
"35","New Mexico","2022","58","",,"15 TO 34""Male"
"35","New Mexico","2022","81","",,"15 TO 34""Female"
"35","New Mexico","2022","67","",,"35 TO 64""Male"
"35","New Mexico","2022","151","",,"35 TO 64""Female"
"35","New Mexico","2022","15","",,">= 65""Male"
"35","New Mexico","2022","59","",,">= 65""Female"
"36","New York","2022","2,496","",,"0 TO 4""Male"
"36","New York","2022","1,506","",,"0 TO 4""Female"
"36","New York","2022","2,041","",,"5 TO 14""Male"
"36","New York","2022","1,428","",,"5 TO 14""Female"
"36","New York","2022","732","",,"15 TO 34""Male"
"36","New York","2022","1,188","",,"15 TO 34""Female"
"36","New York","2022","1,303","",,"35 TO 64""Male"
"36","New York","2022","2,514","",,"35 TO 64""Female"
"36","New York","2022","440","",,">= 65""Male"
"36","New York","2022","1,640","",,">= 65""Female"
"37","North Carolina","2022","437","",,"0 TO 4""Male"
"37","North Carolina","2022","246","",,"0 TO 4""Female"
"37","North Carolina","2022","531","",,"5 TO 14""Male"
"37","North Carolina","2022","381","",,"5 TO 14""Female"
"37","North Carolina","2022","195","",,"15 TO 34""Male"
"37","North Carolina","2022","326","",,"15 TO 34""Female"
"37","North Carolina","2022","299","",,"35 TO 64""Male"
"37","North Carolina","2022","787","",,"35 TO 64""Female"
"37","North Carolina","2022","97","",,">= 65""Male"
"37","North Carolina","2022","337","",,">= 65""Female"
"41","Oregon","2022","186","",,"0 TO 4""Male"
"41","Oregon","2022","103","",,"0 TO 4""Female"
"41","Oregon","2022","147","",,"5 TO 14""Male"
"41","Oregon","2022","108","",,"5 TO 14""Female"
"41","Oregon","2022","41","",,"15 TO 34""Male"
"41","Oregon","2022","97","",,"15 TO 34""Female"
"41","Oregon","2022","60","",,"35 TO 64""Male"
"41","Oregon","2022","146","",,"35 TO 64""Female"
"41","Oregon","2022","26","",,">= 65""Male"
"41","Oregon","2022","70","",,">= 65""Female"
"42","Pennsylvania","2022","867","",,"0 TO 4""Male"
"42","Pennsylvania","2022","511","",,"0 TO 4""Female"
"42","Pennsylvania","2022","758","",,"5 TO 14""Male"
"42","Pennsylvania","2022","546","",,"5 TO 14""Female"
"42","Pennsylvania","2022","330","",,"15 TO 34""Male"
"42","Pennsylvania","2022","592","",,"15 TO 34""Female"
"42","Pennsylvania","2022","539","",,"35 TO 64""Male"
"42","Pennsylvania","2022","1,230","",,"35 TO 64""Female"
"42","Pennsylvania","2022","217","",,">= 65""Male"
"42","Pennsylvania","2022","621","",,">= 65""Female"
"44","Rhode Island","2022","42","",,"0 TO 4""Male"
"44","Rhode Island","2022","39","",,"0 TO 4""Female"
"44","Rhode Island","2022","52","",,"5 TO 14""Male"
"44","Rhode Island","2022","33","",,"5 TO 14""Female"
"44","Rhode Island","2022","45","",,"15 TO 34""Male"
"44","Rhode Island","2022","59","",,"15 TO 34""Female"
"44","Rhode Island","2022","44","",,"35 TO 64""Male"
"44","Rhode Island","2022","79","",,"35 TO 64""Female"
"44","Rhode Island","2022","16","",,">= 65""Male"
"44","Rhode Island","2022","51","",,">= 65""Female"
"45","South Carolina","2022","173","",,"0 TO 4""Male"
"45","South Carolina","2022","94","",,"0 TO 4""Female"
"45","South Carolina","2022","161","",,"5 TO 14""Male"
"45","South Carolina","2022","149","",,"5 TO 14""Female"
"45","South Carolina","2022","77","",,"15 TO 34""Male"
"45","South Carolina","2022","119","",,"15 TO 34""Female"
"45","South Carolina","2022","107","",,"35 TO 64""Male"
"45","South Carolina","2022","367","",,"35 TO 64""Female"
"45","South Carolina","2022","42","",,">= 65""Male"
"45","South Carolina","2022","152","",,">= 65""Female"
"49","Utah","2022","182","",,"0 TO 4""Male"
"49","Utah","2022","108","",,"0 TO 4""Female"
"49","Utah","2022","217","",,"5 TO 14""Male"
"49","Utah","2022","150","",,"5 TO 14""Female"
"49","Utah","2022","54","",,"15 TO 34""Male"
"49","Utah","2022","95","",,"15 TO 34""Female"
"49","Utah","2022","86","",,"35 TO 64""Male"
"49","Utah","2022","127","",,"35 TO 64""Female"
"49","Utah","2022","20","",,">= 65""Male"
"49","Utah","2022","56","",,">= 65""Female"
"50","Vermont","2022","20","",,"0 TO 4""Male"
